jour,mois,an,Num_Acc,hrmn,lum,agg,int,atm,col,com,lat,long,dep,count
25,4,18,33498804764040,240430,261,281,321,206.0,670.0,27746,751029508.0,65938910.0,100443,166
25,5,18,48028407317435,325960,343,400,439,374.0,974.0,45081,1061152823.0,125323110.0,142841,238
25,6,18,40561805765222,275796,258,335,374,257.0,799.0,34658,882509879.0,89074999.0,116397,201
25,7,18,30875403826080,206141,206,243,287,202.0,620.0,29200,679123715.0,65440009.0,81471,153
25,8,18,28050203718058,196718,264,217,242,202.0,582.0,29614,599257301.0,61296193.0,73712,139
25,9,18,44597806452068,305674,334,375,453,293.0,854.0,36339,966451121.0,77660877.0,132369,221
25,10,18,34911404552137,242406,352,283,405,260.0,724.0,34878,787785837.0,66545291.0,93300,173
25,11,18,29664604627252,175844,418,232,302,331.0,673.0,28420,663317902.0,49461445.0,94414,147
25,12,18,14731402389018,92647,193,116,156,104.0,303.0,14167,324159227.0,46730274.0,46615,73
26,1,18,37938405454165,266352,433,321,377,339.0,787.0,36560,841748489.0,69835300.0,101631,188
26,2,18,17354802729940,114778,153,148,181,151.0,386.0,13769,401302999.0,27316702.0,55405,86
26,3,18,23005203511471,149798,172,195,225,160.0,434.0,17165,504434242.0,62588878.0,65940,114
26,4,18,33095204617725,235687,225,266,305,222.0,646.0,32769,726808867.0,86988602.0,91530,164
26,5,18,34709604782598,235139,281,285,316,264.0,760.0,36427,788056924.0,79509559.0,99344,172
26,6,18,45203206769948,302741,295,375,448,330.0,858.0,46971,1020336311.0,90924106.0,130103,224
26,7,18,36122204728534,253572,233,294,328,251.0,750.0,34885,791683504.0,71104143.0,97961,179
26,8,18,27041203254416,171395,279,202,259,195.0,573.0,25540,584948066.0,78507896.0,73323,134
26,9,18,37534805438952,261761,286,320,377,228.0,781.0,35138,838613190.0,64353305.0,107259,186
26,10,18,37938405787505,275490,431,307,379,332.0,758.0,34618,813684197.0,83090325.0,119805,188
26,11,18,26234004224906,172052,352,223,221,280.0,544.0,23418,575104799.0,63947992.0,81836,130
26,12,18,22399803250609,155810,245,184,269,149.0,455.0,20878,478786214.0,68714565.0,59964,111
27,1,18,25830403868341,169860,342,205,236,258.0,567.0,22001,550726228.0,62996949.0,74164,128
27,2,18,21794403107648,147303,215,181,190,188.0,456.0,16530,496448342.0,46151363.0,58678,108
27,3,18,25225004271853,173059,207,218,236,224.0,541.0,20731,572568634.0,49126411.0,81749,125
