catv,grav,secu,Num_Acc,senc,occutc,obs,obsm,choc,manv,place,catu,sexe,trajet,locp,actp,etatp,an_nais,count
3,3,12.0,807200098127,5.0,0,15.0,6.0,9.0,15.0,4.0,4,5,15.0,0.0,0.0,0.0,7941.0,4
3,3,13.0,2018000309487,13.0,0,30.0,18.0,21.0,95.0,14.0,13,12,24.0,0.0,0.0,0.0,19682.0,10
3,3,21.0,5246800720670,35.0,0,12.0,62.0,83.0,333.0,27.0,27,28,77.0,0.0,0.0,0.0,51461.0,26
3,3,91.0,403600045148,3.0,0,0.0,4.0,2.0,14.0,3.0,3,3,0.0,0.0,0.0,0.0,3958.0,2
3,3,92.0,201800040676,2.0,0,0.0,0.0,9.0,10.0,3.0,2,1,5.0,0.0,0.0,0.0,1999.0,1
3,3,93.0,807200155944,5.0,0,0.0,8.0,17.0,48.0,4.0,4,6,9.0,0.0,0.0,0.0,7958.0,4
3,4,2.0,1412600141215,6.0,0,23.0,5.0,16.0,16.0,13.0,15,9,20.0,9.0,4.0,4.0,13919.0,7
3,4,3.0,7466601011406,34.0,0,61.0,39.0,73.0,223.0,36.0,93,59,118.0,63.0,76.0,32.0,73280.0,37
3,4,11.0,40158205323635,216.0,0,243.0,294.0,554.0,1202.0,260.0,241,296,626.0,0.0,0.0,0.0,393727.0,199
3,4,12.0,807200128000,5.0,0,13.0,4.0,7.0,4.0,6.0,6,5,10.0,0.0,0.0,0.0,7914.0,4
3,4,13.0,3027000453951,16.0,0,61.0,12.0,56.0,68.0,20.0,18,22,45.0,0.0,0.0,0.0,29764.0,15
3,4,21.0,8072001076538,35.0,0,0.0,78.0,112.0,376.0,41.0,41,44,141.0,0.0,0.0,0.0,79411.0,40
3,4,22.0,403600088405,2.0,0,0.0,2.0,3.0,1.0,2.0,2,2,5.0,0.0,0.0,0.0,3980.0,2
3,4,23.0,1210800203171,6.0,0,1.0,12.0,24.0,55.0,6.0,6,9,16.0,0.0,0.0,0.0,11850.0,6
3,4,31.0,403600082428,3.0,0,0.0,4.0,4.0,16.0,4.0,4,2,10.0,0.0,0.0,0.0,4026.0,2
3,4,91.0,403600071511,2.0,0,0.0,3.0,3.0,3.0,2.0,5,3,1.0,4.0,3.0,0.0,3982.0,2
3,4,92.0,201800040676,2.0,0,0.0,0.0,9.0,10.0,6.0,2,1,5.0,0.0,0.0,0.0,2001.0,1
3,4,93.0,1412600282394,10.0,0,0.0,12.0,17.0,71.0,13.0,8,7,23.0,0.0,0.0,0.0,13868.0,7
7,1,1.0,403600087852,2.0,0,0.0,3.0,6.0,3.0,1.0,4,3,1.0,3.0,3.0,2.0,3960.0,2
7,1,2.0,24216001685176,120.0,0,118.0,175.0,345.0,741.0,111.0,223,151,490.0,123.0,166.0,86.0,237659.0,120
7,1,3.0,268192230657186,1354.0,0,1024.0,2318.0,3724.0,7834.0,2106.0,1741,1688,4457.0,135.0,206.0,98.0,2630591.0,1329
7,1,11.0,12992087703495512,76806.0,0,35160.0,117871.0,203290.0,417573.0,88808.0,74742,83914,224753.0,4.0,3.0,1.0,127327093.0,64381
7,1,12.0,111393617369046,641.0,0,591.0,904.0,1561.0,4837.0,1139.0,696,694,1572.0,0.0,0.0,0.0,1094020.0,552
7,1,13.0,1007991146367085,6033.0,0,4277.0,8695.0,15386.0,37574.0,6911.0,5763,6303,16224.0,0.0,0.0,0.0,9858475.0,4995
7,1,21.0,132582622382158,794.0,0,75.0,1272.0,2347.0,5901.0,803.0,792,741,2545.0,0.0,0.0,0.0,1304261.0,657
7,1,22.0,2018000271965,8.0,0,1.0,25.0,33.0,49.0,19.0,15,11,37.0,0.0,0.0,0.0,19920.0,10
7,1,23.0,6255800909737,30.0,0,0.0,67.0,105.0,266.0,39.0,39,41,63.0,0.0,0.0,0.0,59702.0,31
7,1,31.0,165677819765106,1034.0,0,770.0,1380.0,2490.0,5330.0,4230.0,1642,1217,3696.0,0.0,0.0,0.0,1653760.0,821
7,1,32.0,807200138540,4.0,0,0.0,8.0,9.0,19.0,8.0,8,4,0.0,0.0,0.0,0.0,8064.0,4
7,1,33.0,2623400430410,21.0,0,0.0,22.0,48.0,102.0,39.0,26,18,64.0,0.0,0.0,0.0,26190.0,13
7,1,41.0,3027000183787,18.0,0,21.0,12.0,50.0,244.0,21.0,21,23,24.0,0.0,0.0,0.0,29607.0,15
7,1,42.0,605400057283,5.0,0,1.0,5.0,9.0,17.0,2.0,5,4,18.0,0.0,0.0,0.0,5940.0,3
7,1,43.0,1412600188789,8.0,0,4.0,18.0,13.0,20.0,6.0,9,8,11.0,3.0,3.0,2.0,13855.0,7
7,1,91.0,28453803103005,160.0,0,178.0,258.0,450.0,1015.0,355.0,194,191,497.0,2.0,3.0,2.0,280318.0,141
7,1,92.0,17153002693753,97.0,0,112.0,164.0,254.0,814.0,91.0,90,103,242.0,0.0,0.0,0.0,167863.0,85
7,1,93.0,106146817728062,625.0,0,368.0,1092.0,1741.0,4688.0,709.0,608,680,1303.0,4.0,3.0,2.0,1039038.0,526
7,2,2.0,50651804343257,280.0,0,313.0,319.0,606.0,986.0,144.0,611,333,971.0,340.0,457.0,204.0,493438.0,251
7,2,3.0,47221205349975,259.0,0,338.0,257.0,537.0,1094.0,166.0,518,310,909.0,299.0,455.0,147.0,459773.0,234
7,2,11.0,344069029126803,2298.0,0,3784.0,2415.0,4914.0,10754.0,2611.0,2117,2286,6420.0,0.0,0.0,0.0,3354672.0,1705
7,2,12.0,44597803974318,281.0,0,1104.0,169.0,647.0,1107.0,370.0,273,274,873.0,0.0,0.0,0.0,436729.0,221
7,2,13.0,48028404297379,304.0,0,735.0,280.0,770.0,1591.0,444.0,302,299,954.0,0.0,0.0,0.0,470237.0,238
7,2,21.0,94038809014024,575.0,0,134.0,1080.0,1581.0,3723.0,489.0,489,496,1597.0,0.0,0.0,0.0,921817.0,466
7,2,22.0,5852200904875,36.0,0,0.0,100.0,86.0,157.0,31.0,31,30,109.0,0.0,0.0,0.0,57270.0,29
7,2,23.0,3430600367617,15.0,0,1.0,28.0,55.0,142.0,17.0,17,19,52.0,0.0,0.0,0.0,33592.0,17
7,2,31.0,4843200241957,36.0,0,40.0,34.0,70.0,159.0,137.0,48,33,91.0,0.0,0.0,0.0,48343.0,24
7,2,32.0,605400047918,5.0,0,0.0,4.0,11.0,28.0,13.0,6,6,15.0,0.0,0.0,0.0,6034.0,3
7,2,41.0,1816200204209,14.0,0,15.0,11.0,24.0,56.0,2.0,23,9,23.0,26.0,41.0,12.0,17781.0,9
7,2,42.0,2219800146548,12.0,0,0.0,45.0,18.0,24.0,6.0,21,12,51.0,5.0,6.0,7.0,21827.0,11
7,2,43.0,201800036344,1.0,0,0.0,2.0,2.0,2.0,1.0,1,1,9.0,0.0,0.0,0.0,1937.0,1
7,2,91.0,5045000287301,38.0,0,41.0,27.0,59.0,185.0,23.0,29,34,111.0,0.0,0.0,0.0,49407.0,25
7,2,92.0,2421600114939,15.0,0,41.0,12.0,22.0,86.0,12.0,23,13,63.0,6.0,10.0,5.0,23652.0,12
7,2,93.0,3632400446334,20.0,0,23.0,25.0,50.0,110.0,20.0,34,21,65.0,17.0,6.0,8.0,35607.0,18
7,3,1.0,605400044013,3.0,0,13.0,2.0,14.0,21.0,1.0,7,4,14.0,2.0,3.0,2.0,5885.0,3
7,3,2.0,192113614617008,796.0,0,896.0,1213.0,2308.0,4654.0,446.0,2421,1378,3506.0,1849.0,2318.0,871.0,1874741.0,952
7,3,3.0,298462238175497,1506.0,0,1695.0,1750.0,3527.0,8156.0,1071.0,3502,2101,5006.0,2408.0,2965.0,1101.0,2920961.0,1479
7,3,11.0,2300116615724215,14226.0,0,23772.0,16880.0,31114.0,69845.0,19392.0,14912,16634,42005.0,0.0,0.0,0.0,22502289.0,11398
7,3,12.0,87581208667605,534.0,0,1678.0,405.0,1165.0,2744.0,996.0,593,544,1690.0,0.0,0.0,0.0,860567.0,434
7,3,13.0,221172822465039,1389.0,0,2934.0,1385.0,3256.0,7113.0,1926.0,1430,1457,3855.0,0.0,0.0,0.0,2167870.0,1096
7,3,21.0,971868914572556,5185.0,0,612.0,10159.0,17150.0,46642.0,5222.0,5214,5384,15846.0,0.0,0.0,0.0,9544324.0,4816
7,3,22.0,44597805538432,218.0,0,88.0,688.0,662.0,1670.0,233.0,233,259,820.0,0.0,0.0,0.0,438311.0,221
7,3,23.0,44799607108018,245.0,0,59.0,493.0,711.0,2037.0,242.0,242,268,653.0,0.0,0.0,0.0,440216.0,222
7,3,31.0,39149203473815,281.0,0,265.0,280.0,550.0,1268.0,1108.0,388,272,887.0,0.0,0.0,0.0,390760.0,194
7,3,32.0,807200058428,4.0,0,21.0,4.0,4.0,28.0,23.0,8,5,18.0,0.0,0.0,0.0,8056.0,4
7,3,33.0,1009000023928,5.0,0,0.0,4.0,35.0,39.0,20.0,10,7,10.0,0.0,0.0,0.0,10054.0,5
7,3,41.0,8273800723057,49.0,0,30.0,97.0,109.0,287.0,23.0,80,45,144.0,77.0,126.0,30.0,80969.0,41
7,3,42.0,6457600474142,31.0,0,14.0,102.0,86.0,166.0,17.0,65,40,144.0,39.0,36.0,23.0,63069.0,32
7,3,43.0,3632400477171,11.0,0,0.0,47.0,51.0,98.0,14.0,26,21,74.0,13.0,14.0,4.0,35605.0,18
7,3,91.0,24619602032240,146.0,0,257.0,223.0,331.0,761.0,238.0,186,164,416.0,32.0,51.0,16.0,242227.0,122
7,3,92.0,17960201977621,94.0,0,70.0,221.0,243.0,704.0,84.0,152,118,347.0,70.0,79.0,31.0,175599.0,89
7,3,93.0,42781607138005,268.0,0,249.0,418.0,586.0,1855.0,264.0,307,282,616.0,106.0,121.0,50.0,419583.0,212
7,4,1.0,2018000428082,8.0,0,1.0,10.0,26.0,84.0,0.0,30,13,5.0,33.0,27.0,9.0,19798.0,10
7,4,2.0,122492608868492,486.0,0,587.0,796.0,1458.0,3137.0,313.0,1589,911,2336.0,1251.0,1574.0,650.0,1201504.0,607
7,4,3.0,688541701800366,3400.0,0,2209.0,4268.0,8310.0,20038.0,1896.0,8397,4976,11206.0,6431.0,7424.0,2904.0,6762345.0,3412
7,4,11.0,8461475231225731,50879.0,0,44631.0,72559.0,124385.0,239493.0,67452.0,54953,63059,146643.0,0.0,0.0,0.0,83025070.0,41930
7,4,12.0,93635214692502,528.0,0,1004.0,629.0,1360.0,3083.0,1151.0,686,648,1578.0,0.0,0.0,0.0,921183.0,464
7,4,13.0,556766279143398,3290.0,0,4640.0,4525.0,8252.0,19589.0,4784.0,3669,3975,8791.0,0.0,0.0,0.0,5468831.0,2759
7,4,21.0,1865843119099601,10585.0,0,1091.0,18977.0,34100.0,88783.0,10212.0,10113,10639,28674.0,0.0,0.0,0.0,18338957.0,9246
7,4,22.0,58522009926679,322.0,0,20.0,800.0,917.0,2686.0,311.0,303,372,963.0,0.0,0.0,0.0,575480.0,290
7,4,23.0,135811425118180,683.0,0,86.0,1535.0,2079.0,6484.0,713.0,710,823,1951.0,0.0,0.0,0.0,1335901.0,673
7,4,31.0,172740827846423,1064.0,0,974.0,1519.0,2642.0,4911.0,3456.0,1712,1267,3617.0,0.0,0.0,0.0,1723989.0,856
7,4,32.0,1009000117424,7.0,0,0.0,10.0,15.0,19.0,13.0,9,6,27.0,0.0,0.0,0.0,10055.0,5
